Country ,Year,The number of people with depression
Australia,1990,754119.8787
Australia,1991,771210.3569
Australia,1992,786756.5702
Australia,1993,801280.0984
Australia,1994,814120.3073
Australia,1995,825825.2559
Australia,1996,835873.1339
Australia,1997,844957.1695
Australia,1998,853011.0105
Australia,1999,862312.3956
Australia,2000,873872.8683
Australia,2001,888192.602
Australia,2002,904722.245
Australia,2003,923082.448
Australia,2004,940615.1734
Australia,2005,955721.5487
Australia,2006,968908.8266
Australia,2007,980261.9632
Australia,2008,990289.0635
Australia,2009,1000757.045
Australia,2010,1011660.876
Australia,2011,1023289.825
Australia,2012,1034461.233
Australia,2013,1044375.592
Australia,2014,1054482.163
Australia,2015,1063070.011
Australia,2016,1070499.839
Australia,2017,1077458.437
Canada,1990,1113244.965
Canada,1991,1131245.014
Canada,1992,1148547.423
Canada,1993,1164445.263
Canada,1994,1179984.978
Canada,1995,1194885.47
Canada,1996,1209584.566
Canada,1997,1223888.361
Canada,1998,1237691.366
Canada,1999,1251486.936
Canada,2000,1264345.086
Canada,2001,1273643.813
Canada,2002,1278053.559
Canada,2003,1279966.319
Canada,2004,1283447.241
Canada,2005,1290817.183
Canada,2006,1300665.306
Canada,2007,1308937.622
Canada,2008,1317823.099
Canada,2009,1327585.962
Canada,2010,1339777.736
Canada,2011,1354038.12
Canada,2012,1367975.35
Canada,2013,1381335.474
Canada,2014,1394733.328
Canada,2015,1408679.852
Canada,2016,1423298.889
Canada,2017,1438911.334
China,1990,38598188.32
China,1991,39215086.26
China,1992,39793762.52
China,1993,40337743.48
China,1994,40875753.03
China,1995,41373542.22
China,1996,41831562.39
China,1997,42268159.24
China,1998,42710885.28
China,1999,43226056.75
China,2000,43811415.11
China,2001,44474220.68
China,2002,45165152.57
China,2003,45864248.5
China,2004,46606017.69
China,2005,47351394.66
China,2006,48199346.6
China,2007,49166515.07
China,2008,50183590.8
China,2009,51189383.22
China,2010,52073047.05
China,2011,52856181.77
China,2012,53592877.18
China,2013,54294793.89
China,2014,54949280.92
China,2015,55511637.65
China,2016,55978079.03
China,2017,56364934.82
Denmark,1990,216064.456
Denmark,1991,216740.7294
Denmark,1992,217117.3612
Denmark,1993,217276.4258
Denmark,1994,217000.7807
Denmark,1995,216749.8166
Denmark,1996,215450.4887
Denmark,1997,212498.6161
Denmark,1998,208781.4912
Denmark,1999,205130.6536
Denmark,2000,202564.7622
Denmark,2001,200776.2407
Denmark,2002,199158.0812
Denmark,2003,197730.2141
Denmark,2004,196689.124
Denmark,2005,196175.1893
Denmark,2006,195883.4724
Denmark,2007,195599.2965
Denmark,2008,195682.4817
Denmark,2009,196098.383
Denmark,2010,196929.0307
Denmark,2011,198125.0286
Denmark,2012,199303.0465
Denmark,2013,200689.8889
Denmark,2014,202228.9687
Denmark,2015,203955.3155
Denmark,2016,205738.5416
Denmark,2017,207520.3015
Finland,1990,282050.7173
Finland,1991,285354.5182
Finland,1992,288169.0446
Finland,1993,290479.4053
Finland,1994,292267.3089
Finland,1995,293272.2769
Finland,1996,293490.7761
Finland,1997,293295.3771
Finland,1998,292745.2366
Finland,1999,292143.3506
Finland,2000,291528.6706
Finland,2001,290152.4982
Finland,2002,287827.2024
Finland,2003,285400.0954
Finland,2004,283477.9722
Finland,2005,283074.0722
Finland,2006,283560.9579
Finland,2007,283944.1101
Finland,2008,284320.7172
Finland,2009,284702.7361
Finland,2010,285151.0618
Finland,2011,285205.0632
Finland,2012,285076.6073
Finland,2013,284664.5011
Finland,2014,283937.9877
Finland,2015,282837.8448
Finland,2016,281437.0476
Finland,2017,279845.2242
India,1990,26345551.05
India,1991,27290176.74
India,1992,28214178.45
India,1993,29102709.38
India,1994,29953323.73
India,1995,30742921.31
India,1996,31469667.79
India,1997,32156228.63
India,1998,32833586.08
India,1999,33542280.92
India,2000,34327416.93
India,2001,35225493.39
India,2002,36225245.07
India,2003,37271230.32
India,2004,38313546.78
India,2005,39287287.13
India,2006,39755914.24
India,2007,39575180.82
India,2008,39127786.34
India,2009,38837591.02
India,2010,39179742.74
India,2011,40025205.18
India,2012,40890509.27
India,2013,41783638.5
India,2014,42711092.58
India,2015,43665724.14
India,2016,44654947.03
India,2017,45697488.59
England,1990,2156022.025
England,1991,2156068.843
England,1992,2156939.872
England,1993,2159190.86
England,1994,2163826.888
England,1995,2171133.01
England,1996,2180630.742
England,1997,2190943.232
England,1998,2201752.295
England,1999,2213289.158
England,2000,2225163.791
England,2001,2228885.01
England,2002,2220491.743
England,2003,2207951.599
England,2004,2199574.554
England,2005,2203687.167
England,2006,2221176.714
England,2007,2244819.385
England,2008,2271313.535
England,2009,2297421.963
England,2010,2319297.513
England,2011,2338269.448
England,2012,2356602.954
England,2013,2374274.429
England,2014,2391520.5
England,2015,2408114.02
England,2016,2423593.064
England,2017,2437917.115
France,1990,2707041.856
France,1991,2688517.353
France,1992,2672305.729
France,1993,2660166.035
France,1994,2654800.099
France,1995,2659813.269
France,1996,2667124.471
France,1997,2671625.452
France,1998,2673993.772
France,1999,2680369.41
France,2000,2691213.917
France,2001,2696072.746
France,2002,2688940.17
France,2003,2676132.222
France,2004,2666634.813
France,2005,2668546.988
France,2006,2696708.675
